"Id","Created (UTC)","Latitude","Longitude","Text","Full Text","User Name","User Mentions","Hashtags","Language","Retweet count","Country","Place","Image"
"1440227982547714052","2021-09-21 08:14:43","24.77727038","92.7925981","Rain is Inane @ Dhubri (Assam) https://t.co/ait9aYKzov","","Ankit","","","hi","0","India","Silchar, India",""
"1440187593295990784","2021-09-21 05:34:14","24.77727038","92.7925981","Kumol chawl Jal paan (soft rice Breakfast) @ Dhubri (Assam) https://t.co/8SgjfxpM52","","Ankit","","","in","0","India","Silchar, India",""
"1440992749658918914","2021-09-23 10:53:38","24.81306648","92.79751091","Order now!!! @ My Silchar https://t.co/Y0lzrCKGe0","","Mr. Jini","","","en","0","India","Silchar, India",""
"1440688832161017862","2021-09-22 14:45:58","24.82","92.8","Just posted a photo @ Silchar https://t.co/2RVktxjRAp","","Drivelooprental","","","en","0","India","Silchar, India",""
"1440877115432443904","2021-09-23 03:14:09","24.81306648","92.79751091","💥💥💥 *DHAMAKA OFFER OFFER OFFER* 💥💥💥

*FLAT 10% DISCOUNT*
🥳🥳🥳

*With FREE HOME DELIVERY*
🤩🤩🤩

*Call and order now*… https://t.co/crCekI0w7b","💥💥💥 *DHAMAKA OFFER OFFER OFFER* 💥💥💥

*FLAT 10% DISCOUNT*
🥳🥳🥳

*With FREE HOME DELIVERY*
🤩🤩🤩

*Call and order now* 
📞📞📞
*+91 9954263863* 

*Hurry Order now* @ My Silchar https://t.co/grtFl6m8Ur","Mr. Jini","","","en","0","India","Silchar, India",""
"1446818366606528518","2021-10-09 12:42:33","24.81872","92.79139","#2BHK Builder Floor in #Rangirkhari, #Silchar #Apartment #Flat #ForSale #Residential #Property
https://t.co/FwmELYSpzV","","PropertyWala.com","","","en","0","India","Silchar, India",""
"1443256139840462848","2021-09-29 16:47:32","24.81306648","92.79751091","Contact for any types of Delivery 🚚🚚🚚 @ My Silchar https://t.co/8i8yROMutY","","Mr. Jini","","","en","0","India","Silchar, India",""
"1443256095594532864","2021-09-29 16:47:22","24.81306648","92.79751091","Happy Customer @ My Silchar https://t.co/fuhFtyIkSz","","Mr. Jini","","","en","0","India","Silchar, India",""
"1447721101367336964","2021-10-12 00:29:42","24.82","92.8","Just posted a video @ Silchar https://t.co/iAIgip1Zfx","","Kishore Kumar","","","en","0","India","Silchar, India",""
"1447794087353016320","2021-10-12 05:19:43","24.82","92.8","Just posted a photo @ Silchar https://t.co/xH8qDYByaX","","Kishore Kumar","","","en","0","India","Silchar, India",""
"1447894540023648258","2021-10-12 11:58:53","24.82","92.8","Just posted a video @ Silchar https://t.co/cnCYyIO26l","","Kishore Kumar","","","en","0","India","Silchar, India",""
"1446336484043227141","2021-10-08 04:47:44","24.83088802","92.78334347","🥀🥀🥀🥀🥀🍁🍁🍁🍁🍁#Don't you #dare to #show #your #attitude because you will not be able to #handle #mine 😎😎😎🍁🍁🍁🍁🍁🥀🥀🥀🥀🌼🌼🌼🌼🌼… https://t.co/julDmPZz5b","🥀🥀🥀🥀🥀🍁🍁🍁🍁🍁#Don't you #dare to #show #your #attitude because you will not be able to #handle #mine 😎😎😎🍁🍁🍁🍁🍁🥀🥀🥀🥀🌼🌼🌼🌼🌼🌼🌼🌼 @ Silchar. the City of Love https://t.co/kuvJu2dnn2","Annum__barb","","Don; dare; show; your; attitude; handle; mine","en","0","India","Silchar, India",""
"1451935420795604996","2021-10-23 15:35:54","24.82820225","92.79980712","3rd Mr and Ms Barak Valley Stage officially set Along With Dhiraj Mohandas Sir and Rahul Roy.
.
.
.
.
.
. @ Barak V… https://t.co/9TSz5mUqsN","3rd Mr and Ms Barak Valley Stage officially set Along With Dhiraj Mohandas Sir and Rahul Roy.
.
.
.
.
.
. @ Barak Valley https://t.co/eAvRrnQLp2","Achyut Kalita","","","en","0","India","Silchar, India",""
"1451982191609647108","2021-10-23 18:41:45","24.82820225","92.79980712","When a fan comes up to you and says I love you sir , there is nothing better than that.I enjoy thelove I receive fr… https://t.co/5FDHNPLye9","When a fan comes up to you and says I love you sir , there is nothing better than that.I enjoy thelove I receive from my fans and my audience. 
.
.
.
.
.
. @ Barak Valley https://t.co/vxTYtsxJuH","Achyut Kalita","","","en","0","India","Silchar, India",""
"1451807408779665412","2021-10-23 07:07:14","24.81306648","92.79751091","Chicken Cutlet @ My Silchar https://t.co/HjXjOHoyxO","","Mr. Jini","","","en","0","India","Silchar, India",""
"1452132658285273090","2021-10-24 04:39:39","24.81306648","92.79751091","HAPPY KARWA CHAUTH
Book now for Karwa Chauth Special Cake @ My Silchar https://t.co/rk2N1YFcy2","","Mr. Jini","","","en","0","India","Silchar, India",""
"1452449442515324929","2021-10-25 01:38:26","24.81306648","92.79751091","Attitudes are more important than facts. @ My Silchar https://t.co/1BZqFkwt5j","","Arjun Bakti","","","en","0","India","Silchar, India",""
"1453323097612984323","2021-10-27 11:30:02","24.82733","92.79787","It's 5 o'clock in Silchar.","","5 O'Clock Somewhere","","","en","0","India","Silchar, India",""
"1453672357915238402","2021-10-28 10:37:52","24.82","92.8","https://t.co/VFid4Cj0fD @ Silchar https://t.co/HgvBxWs1dk","","Ajoy Dey","","","pt","0","India","Silchar, India",""
"1450113016045965312","2021-10-18 14:54:19","24.81306648","92.79751091","DM to order now @ My Silchar https://t.co/gN3doMUmPh","","Mr. Jini","","","en","0","India","Silchar, India",""
