Full Text,Translated Text,Sentiment Score,Sentiment
Rain is Inane @ Dhubri (Assam) https://t.co/ait9aYKzov,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  15 HOURS 55 MINUTES 07 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0.34,Positive
Kumol chawl Jal paan (soft rice Breakfast) @ Dhubri (Assam) https://t.co/8SgjfxpM52,'IN' IS AN INVALID SOURCE LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,0.0,Neutral
Order now!!! @ My Silchar https://t.co/Y0lzrCKGe0,Order now!!! @ My Silchar https://t.co/Y0lzrCKGe0,0.0,Neutral
Just posted a photo @ Silchar https://t.co/2RVktxjRAp,Just posted a photo @ Silchar https://t.co/2RVktxjRAp,0.0,Neutral
collision collision collision  *DHAMAKA OFFER OFFER OFFER* collision collision collision  *FLAT 10% DISCOUNT* partying face partying face partying face  *With FREE HOME DELIVERY* star struck star struck star struck  *Call and order now*… https://t.co/crCekI0w7b collision collision collision  *DHAMAKA OFFER OFFER OFFER* collision collision collision  *FLAT 10% DISCOUNT* partying face partying face partying face  *With FREE HOME DELIVERY* star struck star struck star struck  *Call and order now* telephone receiver telephone receiver telephone receiver  *+91 9954263863* *Hurry Order now* @ My Silchar https://t.co/grtFl6m8Ur,collision collision collision  *DHAMAKA OFFER OFFER OFFER* collision collision collision  *FLAT 10% DISCOUNT* partying face partying face partying face  *With FREE HOME DELIVERY* star struck star struck star struck  *Call and order now*… https://t.co/crCekI0w7b collision collision collision  *DHAMAKA OFFER OFFER OFFER* collision collision collision  *FLAT 10% DISCOUNT* partying face partying face partying face  *With FREE HOME DELIVERY* star struck star struck star struck  *Call and order now* telephone receiver telephone receiver telephone receiver  *+91 9954263863* *Hurry Order now* @ My Silchar https://t.co/grtFl6m8Ur,0.1875,Positive
"#2BHK Builder Floor in #Rangirkhari, #Silchar #Apartment #Flat #ForSale #Residential #Property https://t.co/FwmELYSpzV","#2BHK Builder Floor in #Rangirkhari, #Silchar #Apartment #Flat #ForSale #Residential #Property https://t.co/FwmELYSpzV",-0.025,Negative
Contact for any types of Delivery delivery truck delivery truck delivery truck  @ My Silchar https://t.co/8i8yROMutY,Contact for any types of Delivery delivery truck delivery truck delivery truck  @ My Silchar https://t.co/8i8yROMutY,0.0,Neutral
Happy Customer @ My Silchar https://t.co/fuhFtyIkSz,Happy Customer @ My Silchar https://t.co/fuhFtyIkSz,0.8,Very Positive
Just posted a video @ Silchar https://t.co/iAIgip1Zfx,Just posted a video @ Silchar https://t.co/iAIgip1Zfx,0.0,Neutral
Just posted a photo @ Silchar https://t.co/xH8qDYByaX,Just posted a photo @ Silchar https://t.co/xH8qDYByaX,0.0,Neutral
Just posted a video @ Silchar https://t.co/cnCYyIO26l,Just posted a video @ Silchar https://t.co/cnCYyIO26l,0.0,Neutral
wilted flower wilted flower wilted flower wilted flower wilted flower maple leaf maple leaf maple leaf maple leaf maple leaf #Don't you #dare to #show #your #attitude because you will not be able to #handle #mine smiling face with sunglasses smiling face with sunglasses smiling face with sunglasses maple leaf maple leaf maple leaf maple leaf maple leaf wilted flower wilted flower wilted flower wilted flower blossom blossom blossom blossom blossom … https://t.co/julDmPZz5b wilted flower wilted flower wilted flower wilted flower wilted flower maple leaf maple leaf maple leaf maple leaf maple leaf #Don't you #dare to #show #your #attitude because you will not be able to #handle #mine smiling face with sunglasses smiling face with sunglasses smiling face with sunglasses maple leaf maple leaf maple leaf maple leaf maple leaf wilted flower wilted flower wilted flower wilted flower blossom blossom blossom blossom blossom blossom blossom blossom  @ Silchar. the City of Love https://t.co/kuvJu2dnn2,wilted flower wilted flower wilted flower wilted flower wilted flower maple leaf maple leaf maple leaf maple leaf maple leaf #Don't you #dare to #show #your #attitude because you will not be able to #handle #mine smiling face with sunglasses smiling face with sunglasses smiling face with sunglasses maple leaf maple leaf maple leaf maple leaf maple leaf wilted flower wilted flower wilted flower wilted flower blossom blossom blossom blossom blossom … https://t.co/julDmPZz5b wilted flower wilted flower wilted flower wilted flower wilted flower maple leaf maple leaf maple leaf maple leaf maple leaf #Don't you #dare to #show #your #attitude because you will not be able to #handle #mine smiling face with sunglasses smiling face with sunglasses smiling face with sunglasses maple leaf maple leaf maple leaf maple leaf maple leaf wilted flower wilted flower wilted flower wilted flower blossom blossom blossom blossom blossom blossom blossom blossom  @ Silchar. the City of Love https://t.co/kuvJu2dnn2,0.5,Positive
3rd Mr and Ms Barak Valley Stage officially set Along With Dhiraj Mohandas Sir and Rahul Roy. . . . . . . @ Barak V… https://t.co/9TSz5mUqsN 3rd Mr and Ms Barak Valley Stage officially set Along With Dhiraj Mohandas Sir and Rahul Roy. . . . . . . @ Barak Valley https://t.co/eAvRrnQLp2,3rd Mr and Ms Barak Valley Stage officially set Along With Dhiraj Mohandas Sir and Rahul Roy. . . . . . . @ Barak V… https://t.co/9TSz5mUqsN 3rd Mr and Ms Barak Valley Stage officially set Along With Dhiraj Mohandas Sir and Rahul Roy. . . . . . . @ Barak Valley https://t.co/eAvRrnQLp2,0.0,Neutral
"When a fan comes up to you and says I love you sir , there is nothing better than that.I enjoy thelove I receive fr… https://t.co/5FDHNPLye9 When a fan comes up to you and says I love you sir , there is nothing better than that.I enjoy thelove I receive from my fans and my audience. . . . . . . @ Barak Valley https://t.co/vxTYtsxJuH","When a fan comes up to you and says I love you sir , there is nothing better than that.I enjoy thelove I receive fr… https://t.co/5FDHNPLye9 When a fan comes up to you and says I love you sir , there is nothing better than that.I enjoy thelove I receive from my fans and my audience. . . . . . . @ Barak Valley https://t.co/vxTYtsxJuH",0.4666666666666666,Positive
Chicken Cutlet @ My Silchar https://t.co/HjXjOHoyxO,Chicken Cutlet @ My Silchar https://t.co/HjXjOHoyxO,-0.6,Very Negative
HAPPY KARWA CHAUTH Book now for Karwa Chauth Special Cake @ My Silchar https://t.co/rk2N1YFcy2,HAPPY KARWA CHAUTH Book now for Karwa Chauth Special Cake @ My Silchar https://t.co/rk2N1YFcy2,0.5785714285714286,Very Positive
Attitudes are more important than facts. @ My Silchar https://t.co/1BZqFkwt5j,Attitudes are more important than facts. @ My Silchar https://t.co/1BZqFkwt5j,0.45,Positive
It's 5 o'clock in Silchar.,It's 5 o'clock in Silchar.,0.0,Neutral
https://t.co/VFid4Cj0fD @ Silchar https://t.co/HgvBxWs1dk,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  15 HOURS 55 MINUTES 06 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0.34,Positive
DM to order now @ My Silchar https://t.co/gN3doMUmPh,DM to order now @ My Silchar https://t.co/gN3doMUmPh,0.0,Neutral
The majestic sky with nightsight! 19:57hrs Shot on Pixel 4a #GooglePixel @ NH 54 https://t.co/96EPpYEFXt,The majestic sky with nightsight! 19:57hrs Shot on Pixel 4a #GooglePixel @ NH 54 https://t.co/96EPpYEFXt,0.0,Neutral
#imkishore1912 #kishorekumardas @ Silchar https://t.co/ye2dIYk8yQ,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  15 HOURS 55 MINUTES 05 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0.34,Positive
black heart black heart black heart  @ Silchar. the City of Love https://t.co/OCl8hegstn,black heart black heart black heart  @ Silchar. the City of Love https://t.co/OCl8hegstn,0.0,Neutral
Girl Cake @ My Silchar https://t.co/1hu9hNWjy3,Girl Cake @ My Silchar https://t.co/1hu9hNWjy3,0.0,Neutral
ABish Biofloc 1year Complete Celebration Cake #the cakes 29 #mrjinidelivery @ My Silchar https://t.co/J9bPt60c5p,ABish Biofloc 1year Complete Celebration Cake #the cakes 29 #mrjinidelivery @ My Silchar https://t.co/J9bPt60c5p,0.1,Positive
Call +91 9954263863 @ My Silchar https://t.co/UiKEpYqh4O,Call +91 9954263863 @ My Silchar https://t.co/UiKEpYqh4O,0.0,Neutral
DM to Order Now!!! +91 9954263863 @ My Silchar https://t.co/XLvJjwwUoB,DM to Order Now!!! +91 9954263863 @ My Silchar https://t.co/XLvJjwwUoB,0.0,Neutral
DM to Order Now Call or Whatsapp +91 9954263863 @ My Silchar https://t.co/TQONpIuJPB,DM to Order Now Call or Whatsapp +91 9954263863 @ My Silchar https://t.co/TQONpIuJPB,0.0,Neutral
Just posted a photo @ My Silchar https://t.co/HbOh2PuMHC,Just posted a photo @ My Silchar https://t.co/HbOh2PuMHC,0.0,Neutral
Aajke Sam Momo k Nam Pre Book Now!!! +91 9954263863 Original Recipe Photo @ My Silchar https://t.co/4Sb5OR5Obv,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  15 HOURS 55 MINUTES 05 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0.34,Positive
"Hello Fit Ladies and Gentlemen in Barak Valley! I'm coming to your City to Witness a Grand Event, Mark your Calenda… https://t.co/lNh3McilJO Hello Fit Ladies and Gentlemen in Barak Valley! I'm coming to your City to Witness a Grand Event, Mark your Calendars on 23rd of October 2021 and Be there to cheer up the upcoming Talents! @ Barak Valley https://t.co/l6wzS0drHL","Hello Fit Ladies and Gentlemen in Barak Valley! I'm coming to your City to Witness a Grand Event, Mark your Calenda… https://t.co/lNh3McilJO Hello Fit Ladies and Gentlemen in Barak Valley! I'm coming to your City to Witness a Grand Event, Mark your Calendars on 23rd of October 2021 and Be there to cheer up the upcoming Talents! @ Barak Valley https://t.co/l6wzS0drHL",0.53125,Very Positive
October Winner Cake Miss Aditi @ My Silchar https://t.co/C7APpEPtE7,October Winner Cake Miss Aditi @ My Silchar https://t.co/C7APpEPtE7,0.0,Neutral
Available in Silchar FREE HOME DELIVERY @ My Silchar https://t.co/LbP8onxUtz,Available in Silchar FREE HOME DELIVERY @ My Silchar https://t.co/LbP8onxUtz,0.4,Positive
Just posted a photo @ Barak Valley https://t.co/RnJHDM4dI8,Just posted a photo @ Barak Valley https://t.co/RnJHDM4dI8,0.0,Neutral
silchar red light contact number #silchar assam number #silchar premtala #silchar 14 no gali distance… https://t.co/4AjlnpaIKG silchar red light contact number #silchar assam number #silchar premtala #silchar 14 no gali distance #guwahati 14 number #contai 14 no gali video #silchar red light area details #satta number @ Silchar https://t.co/xkKtIjFbjI,silchar red light contact number #silchar assam number #silchar premtala #silchar 14 no gali distance… https://t.co/4AjlnpaIKG silchar red light contact number #silchar assam number #silchar premtala #silchar 14 no gali distance #guwahati 14 number #contai 14 no gali video #silchar red light area details #satta number @ Silchar https://t.co/xkKtIjFbjI,0.20000000000000004,Positive
लौहपुरुष सरदार पटेल जी के चरणों में नमन । #राष्ट्रीयएकतादिवस #लौहपुरुष सरदार वल्लभभाई पटेल प्रमाण पत्र राष्ट्रीय… https://t.co/C4fXFecxNf लौहपुरुष सरदार पटेल जी के चरणों में नमन । #राष्ट्रीयएकतादिवस #लौहपुरुष सरदार वल्लभभाई पटेल प्रमाण पत्र राष्ट्रीय एकता दिवस शपथ India  @ Silchar https://t.co/7RZrxJqOt5,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  15 HOURS 55 MINUTES 04 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0.34,Positive
Just posted a photo @ Silchar https://t.co/jPTTCjFCno,Just posted a photo @ Silchar https://t.co/jPTTCjFCno,0.0,Neutral
"#186 * PHOTO.! billed cap  @ Assam, India https://t.co/epXaSoVmcm",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  15 HOURS 55 MINUTES 04 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0.34,Positive
"Just posted a photo @ Green Heals Hospital, Silchar https://t.co/vCmc6OXVaU","Just posted a photo @ Green Heals Hospital, Silchar https://t.co/vCmc6OXVaU",-0.2,Negative
Happy Diwali... @ Silchar https://t.co/z2UqQxD4kc,'IN' IS AN INVALID SOURCE LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,0.0,Neutral
Gift Hamper wrapped gift  @ My Silchar https://t.co/XqVZpvUtOg,Gift Hamper wrapped gift  @ My Silchar https://t.co/XqVZpvUtOg,0.0,Neutral
"Generally ami maa er logey kno photo shoto utsi nh But ajk relieved face two hearts Life er 1st time......... Today I I asked to myself… https://t.co/6WihvuxnU1 Generally ami maa er logey kno photo shoto utsi nh But ajk relieved face two hearts Life er 1st time......... Today I I asked to myself y not maatwo hearts  Nd yes I love my maabeating heart  more than anything in the world, anything @ My Silchar https://t.co/KD8WWIDcX2","Generally ami maa er logey kno photo shoto utsi nh But ajk relieved face two hearts Life er 1st time......... Today I I asked to myself… https://t.co/6WihvuxnU1 Generally ami maa er logey kno photo shoto utsi nh But ajk relieved face two hearts Life er 1st time......... Today I I asked to myself y not maatwo hearts  Nd yes I love my maabeating heart  more than anything in the world, anything @ My Silchar https://t.co/KD8WWIDcX2",0.275,Positive
Just posted a photo @ Silchar https://t.co/RJ8xBXywMK,Just posted a photo @ Silchar https://t.co/RJ8xBXywMK,0.0,Neutral
"Just posted a photo @ Barak Valley Express ""the Multi Cuisine Restaurant"" https://t.co/OXZHNKISQ9","Just posted a photo @ Barak Valley Express ""the Multi Cuisine Restaurant"" https://t.co/OXZHNKISQ9",0.0,Neutral
