Demojized,Captions,Latitude,Longitude,Retweet Count,Created (UTC),Full Text,Sentiment Score,Sentiment
Kinti pyari ladki #AditiRathoreCapturesLondonsHeart  ,,26.1620314,91.7477705,0,2019-11-23 16:16:13,Kinti pyari ladki #AditiRathoreCapturesLondonsHeart   ,0,Neutral
"Birthday Bash 
#Birthday Gurl Lots of Love and Happiness to ya @ Gauhati  ",,26.150686,91.730339,0,2021-09-17 16:56:07,"Birthday Bash 
#Birthday Gurl Lots of Love and Happiness to ya @ Gauhati   ",0.6,Very Positive
Just posted a photo @ Brahmaputra Industrial Park  , Vishwakarma Puja special at Jyoth Labs  Guwahatit ,26.22938233,91.70334711,0,2021-09-17 15:54:51,Just posted a photo @ Brahmaputra Industrial Park    Vishwakarma Puja special at Jyoth Labs  Guwahatit ,0.357142857142857,Positive
Just posted a photo @ Brahmaputra Industrial Park  , ,26.22938233,91.70334711,0,2021-09-17 16:35:54,Just posted a photo @ Brahmaputra Industrial Park    ,0,Neutral
Gauhatiheart suit  @ Guwahati Assam India  ,,26.10452,91.5913099,0,2021-09-17 16:53:32,Gauhatiheart suit  @ Guwahati Assam India,0,Neutral
#beer #birthdaygirl #birthdaywishes #dance #music #house party. @ Gauhati  ,,26.150686,91.730339,0,2021-09-17 16:59:16,#beer #birthdaygirl #birthdaywishes #dance #music #house party. @ Gauhati   ,0,Neutral
 share this post postal horn  @ Gauhati  , https   youtube.com channel UCgIa80hFuIpvUNInw7DCFJw share this post  ,26.150686,91.730339,0,2021-09-18 15:46:05, share this post postal horn  @ Gauhati    https   youtube.com channel UCgIa80hFuIpvUNInw7DCFJw share this post  ,0,Neutral
"Just posted a photo @ Nagaon,assam,india  ", My submission for  madewithenvato  aronvisuals  envato   Made using  photoshop  madewithphotoshop   visualsoptimist  lp september  creativecloud ooo  madewithphotoshop  digitalcolosseum  art conquest  huionfeature  graphicroozane  ig creativity  fxcreatives  thegraphicspr0ject  acreativevisual  best moments edit  digitalmanipulation  themysterypr0ject  editvisual  artvision  piximperfect  enter imagination  bestvisualz  psmasteredits  beautifulartvisuals  artclassified  gmofps  photomanipulationart  photoshopvikings  nightphotography  project uno,26.150686,91.730339,0,2021-09-18 08:11:59,"Just posted a photo @ Nagaon,assam,india    My submission for  madewithenvato  aronvisuals  envato   Made using  photoshop  madewithphotoshop   visualsoptimist  lp september  creativecloud ooo  madewithphotoshop  digitalcolosseum  art conquest  huionfeature  graphicroozane  ig creativity  fxcreatives  thegraphicspr0ject  acreativevisual  best moments edit  digitalmanipulation  themysterypr0ject  editvisual  artvision  piximperfect  enter imagination  bestvisualz  psmasteredits  beautifulartvisuals  artclassified  gmofps  photomanipulationart  photoshopvikings  nightphotography  project uno",1,Very Positive
After ages! @ Freemason's Brew Works  ,,26.15461918,91.78085676,0,2021-09-18 13:18:26,After ages! @ Freemason's Brew Works   ,0,Neutral
Just posted a photo @ Gauhati  ,,26.150686,91.730339,0,2021-09-18 04:32:01,Just posted a photo @ Gauhati   ,0,Neutral
Just posted a photo @ Guwahati City  ,                                       Design    siphungbahi                            quotes                       follow                                                                                              Follow us for  assamesequotes and  poem  siphungbahi   guwahati  indian  proudmoment  assamflash  assamesequotes   assamese  assamesepage    jorhat  sibsagar  dibrugrah  guwahati  nagaon  tezpur  nalbari  assam  assamese  northeast  eastindian  axom,26.13635895,91.78461313,0,2021-09-18 11:54:37,Just posted a photo @ Guwahati City                                          Design    siphungbahi                            quotes                       follow                                                                                              Follow us for  assamesequotes and  poem  siphungbahi   guwahati  indian  proudmoment  assamflash  assamesequotes   assamese  assamesepage    jorhat  sibsagar  dibrugrah  guwahati  nagaon  tezpur  nalbari  assam  assamese  northeast  eastindian  axom,0,Neutral
All the best for your new journey as a cyclist person biking person biking person biking  @ Modern Bikes  , All the best for your new journey as a cyclist    ,26.18573,91.7395,0,2021-09-18 15:23:52,All the best for your new journey as a cyclist person biking person biking person biking  @ Modern Bikes    All the best for your new journey as a cyclist    ,0.494545454545454,Positive
"Just another lunch! Ok, mash a green devil into it 

#fish #steamfish #bhapa #homefood #lunch #Assam #Northeast @ S…  Just another lunch! Ok, mash a green devil into it 

#fish #steamfish #bhapa #homefood #lunch #Assam #Northeast @ Survey Beltola  ",,26.13014683,91.79527649,0,2021-09-18 10:05:16,"Just another lunch! Ok, mash a green devil into it 

#fish #steamfish #bhapa #homefood #lunch #Assam #Northeast @ S…  Just another lunch! Ok, mash a green devil into it 

#fish #steamfish #bhapa #homefood #lunch #Assam #Northeast @ Survey Beltola   ",0.1375,Positive
Just posted a photo @ Assam  ,    solitude 2 3    . . .  pressoriginphotos  visualizeradib  photostory  indiaphotoconcept  blankandwhite  lensculture  reutersindia  apfstreetphotographymagazine  gettyimages  editorialphotography  documentaryphotography  documagazine  nurphoto agency  natgeoyourshot  mystreet bnw  monochromamagazine  india gram  ap  epa  efe  pti  bnw demand  betterphotographymagazine  insidephotos  zumapress  momaphotoclub  fujifilm  necollective  streetphotocollective  MoMANYC,26.14,91.77,0,2021-09-18 18:34:52,Just posted a photo @ Assam       solitude 2 3    . . .  pressoriginphotos  visualizeradib  photostory  indiaphotoconcept  blankandwhite  lensculture  reutersindia  apfstreetphotographymagazine  gettyimages  editorialphotography  documentaryphotography  documagazine  nurphoto agency  natgeoyourshot  mystreet bnw  monochromamagazine  india gram  ap  epa  efe  pti  bnw demand  betterphotographymagazine  insidephotos  zumapress  momaphotoclub  fujifilm  necollective  streetphotocollective  MoMANYC,0,Neutral
superhero person bouncing ball #viswakarmapuja #2k21 #lokhra #guwahaticity #assam @ Guwahati Lokhra  ,     viswakarmapuja  2k21  lokhra  guwahaticity  assam,26.1117583,91.7613491,0,2021-09-18 18:17:33,superhero person bouncing ball #viswakarmapuja # 2k21 #lokhra #guwahaticity #assam @ Guwahati Lokhra viswakarmapuja 2k21 lokhra guwahaticity assam,0,Neutral
Just posted a photo @ Assam  ,    solitude 3 3    . . .  pressoriginphotos  visualizeradib  photostory  indiaphotoconcept  blankandwhite  lensculture  reutersindia  apfstreetphotographymagazine  gettyimages  editorialphotography  documentaryphotography  documagazine  nurphoto agency  mystreet bnw  monochromamagazine  india gram  ap  epa  efe  pti  bnw demand  betterphotographymagazine  insidephotos  zumapress  momaphotoclub  fujifilm  necollective  streetphotocollective  MoMANYC  yourshotphotographer,26.14,91.77,0,2021-09-18 18:36:04,Just posted a photo @ Assam       solitude 3 3    . . .  pressoriginphotos  visualizeradib  photostory  indiaphotoconcept  blankandwhite  lensculture  reutersindia  apfstreetphotographymagazine  gettyimages  editorialphotography  documentaryphotography  documagazine  nurphoto agency  mystreet bnw  monochromamagazine  india gram  ap  epa  efe  pti  bnw demand  betterphotographymagazine  insidephotos  zumapress  momaphotoclub  fujifilm  necollective  streetphotocollective  MoMANYC  yourshotphotographer,0,Neutral
