,Unnamed: 0.1,Unnamed: 0,Demojized,Captions,Latitude,Longitude,Retweet Count,Created (UTC),Full Text,Sentiment Score,Sentiment
0,0,0,Rain is Inane @ Dhubri (Assam)  ,,24.77727038,92.7925981,0,2021-09-21 08:14:43,Rain is Inane @ Dhubri (Assam),0.0,Neutral
1,1,1,Kumol chawl Jal paan (soft rice Breakfast) @ Dhubri (Assam)  ,,24.77727038,92.7925981,0,2021-09-21 05:34:14,Kumol Chawl Jal Paan (Soft Rice Breakfast) @ dhhubri (assam),0.1,Positive
2,2,2,Order now!!! @ My Silchar  , Order now   ,24.81306648,92.79751091,0,2021-09-23 10:53:38,Order now!!! @ My Silchar    Order now,0.0,Neutral
3,3,3,Just posted a photo @ Silchar  , We provide cars for hire in Silchar city for tourists and businesses alike. Also those looking to travel from Silchar to Mizoram can contact us as we do provide cars for rent from Silchar to Mizoram currently. You can call us to book a cab for you or hire a car at your convenience online in Silchar. We will pick you up from your designated pickup point. Drivelooprental.com,24.82,92.8,0,2021-09-22 14:45:58,Just posted a photo @ Silchar    We provide cars for hire in Silchar city for tourists and businesses alike. Also those looking to travel from Silchar to Mizoram can contact us as we do provide cars for rent from Silchar to Mizoram currently. You can call us to book a cab for you or hire a car at your convenience online in Silchar. We will pick you up from your designated pickup point. Drivelooprental.com,0.0,Neutral
4,4,4,"collision collision collision  *DHAMAKA OFFER OFFER OFFER* collision collision collision 

*FLAT 10% DISCOUNT*
partying face partying face partying face 

*With FREE HOME DELIVERY*
star struck star struck star struck 

*Call and order now*…  collision collision collision  *DHAMAKA OFFER OFFER OFFER* collision collision collision 

*FLAT 10% DISCOUNT*
partying face partying face partying face 

*With FREE HOME DELIVERY*
star struck star struck star struck 

*Call and order now* 
telephone receiver telephone receiver telephone receiver 
*+91 9954263863* 

*Hurry Order now* @ My Silchar  ",      DHAMAKA OFFER OFFER OFFER        FLAT 10  DISCOUNT        With FREE HOME DELIVERY        Call and order now         91 9954263863     Hurry Order now ,24.81306648,92.79751091,0,2021-09-23 03:14:09,"collision collision collision  *DHAMAKA OFFER OFFER OFFER* collision collision collision 

*FLAT 10% DISCOUNT*
partying face partying face partying face 

*With FREE HOME DELIVERY*
star struck star struck star struck 

*Call and order now*…  collision collision collision  *DHAMAKA OFFER OFFER OFFER* collision collision collision 

*FLAT 10% DISCOUNT*
partying face partying face partying face 

*With FREE HOME DELIVERY*
star struck star struck star struck 

*Call and order now* 
telephone receiver telephone receiver telephone receiver 
*+91 9954263863* 

*Hurry Order now* @ My Silchar         DHAMAKA OFFER OFFER OFFER        FLAT 10  DISCOUNT        With FREE HOME DELIVERY        Call and order now         91 9954263863     Hurry Order now",0.1875,Positive
5,5,5,"#2BHK Builder Floor in #Rangirkhari, #Silchar #Apartment #Flat #ForSale #Residential #Property
 ",,24.81872,92.79139,0,2021-10-09 12:42:33,"#2BHK Builder Floor in #Rangirkhari, #Silchar #Apartment #Flat #ForSale #Residential #Property",-0.025,Negative
6,6,6,Contact for any types of Delivery delivery truck delivery truck delivery truck  @ My Silchar  , Contact for any types of Delivery    ,24.81306648,92.79751091,0,2021-09-29 16:47:32,Contact for any types of Delivery delivery truck delivery truck delivery truck  @ My Silchar    Contact for any types of Delivery,0.0,Neutral
7,7,7,Happy Customer @ My Silchar  ,,24.81306648,92.79751091,0,2021-09-29 16:47:22,Happy Customer @ My Silchar,0.8,Very Positive
8,8,8,Just posted a video @ Silchar  ,,24.82,92.8,0,2021-10-12 00:29:42,Just posted a video @ Silchar,0.0,Neutral
9,9,9,Just posted a photo @ Silchar  ,,24.82,92.8,0,2021-10-12 05:19:43,Just posted a photo @ Silchar,0.0,Neutral
